dotnet-stryker.4.16.0.nupkg	46147078 bytes
humanizer.core.2.14.1.nupkg	538179 bytes
microsoft.aspnetcore.authentication.jwtbearer.8.0.11.nupkg	72150 bytes
microsoft.aspnetcore.cryptography.internal.8.0.11.nupkg	119785 bytes
microsoft.aspnetcore.cryptography.keyderivation.8.0.11.nupkg	90295 bytes
microsoft.aspnetcore.identity.entityframeworkcore.8.0.11.nupkg	90160 bytes
microsoft.aspnetcore.openapi.8.0.19.nupkg	77253 bytes
microsoft.bcl.asyncinterfaces.6.0.0.nupkg	76354 bytes
microsoft.codeanalysis.analyzers.3.3.3.nupkg	1111022 bytes
microsoft.codeanalysis.common.4.5.0.nupkg	4738098 bytes
microsoft.codeanalysis.csharp.4.5.0.nupkg	10874098 bytes
microsoft.codeanalysis.csharp.workspaces.4.5.0.nupkg	1337444 bytes
microsoft.codeanalysis.workspaces.common.4.5.0.nupkg	4948883 bytes
microsoft.codecoverage.17.14.1.nupkg	9755080 bytes
microsoft.entityframeworkcore.8.0.11.nupkg	1275499 bytes
microsoft.entityframeworkcore.abstractions.8.0.11.nupkg	58392 bytes
microsoft.entityframeworkcore.analyzers.8.0.11.nupkg	55747 bytes
microsoft.entityframeworkcore.design.8.0.11.nupkg	251397 bytes
microsoft.entityframeworkcore.relational.8.0.11.nupkg	946823 bytes
microsoft.entityframeworkcore.tools.8.0.11.nupkg	278844 bytes
microsoft.extensions.apidescription.server.6.0.5.nupkg	3615948 bytes
microsoft.extensions.caching.abstractions.8.0.0.nupkg	160393 bytes
microsoft.extensions.caching.memory.8.0.1.nupkg	197330 bytes
microsoft.extensions.configuration.abstractions.8.0.0.nupkg	149230 bytes
microsoft.extensions.dependencyinjection.8.0.1.nupkg	344439 bytes
microsoft.extensions.dependencyinjection.abstractions.8.0.2.nupkg	278862 bytes
microsoft.extensions.dependencymodel.8.0.2.nupkg	262269 bytes
microsoft.extensions.identity.core.8.0.11.nupkg	331268 bytes
microsoft.extensions.identity.stores.8.0.11.nupkg	139399 bytes
microsoft.extensions.logging.8.0.1.nupkg	233885 bytes
microsoft.extensions.logging.abstractions.8.0.2.nupkg	801164 bytes
microsoft.extensions.options.8.0.2.nupkg	494417 bytes
microsoft.extensions.primitives.8.0.0.nupkg	209772 bytes
microsoft.identitymodel.abstractions.7.1.2.nupkg	110367 bytes
microsoft.identitymodel.jsonwebtokens.7.1.2.nupkg	369772 bytes
microsoft.identitymodel.logging.7.1.2.nupkg	168180 bytes
microsoft.identitymodel.protocols.7.1.2.nupkg	171726 bytes
microsoft.identitymodel.protocols.openidconnect.7.1.2.nupkg	330333 bytes
microsoft.identitymodel.tokens.7.1.2.nupkg	840638 bytes
microsoft.net.test.sdk.17.14.1.nupkg	39629 bytes
microsoft.openapi.1.6.14.nupkg	198693 bytes
microsoft.testplatform.objectmodel.17.14.1.nupkg	1657190 bytes
microsoft.testplatform.testhost.17.14.1.nupkg	3167820 bytes
mono.texttemplating.2.2.1.nupkg	108836 bytes
newtonsoft.json.13.0.3.nupkg	2441966 bytes
npgsql.8.0.6.nupkg	2855211 bytes
npgsql.entityframeworkcore.postgresql.8.0.11.nupkg	322343 bytes
skiasharp.4.151.1.nupkg	9142543 bytes
skiasharp.nativeassets.linux.nodependencies.4.151.1.nupkg	58336791 bytes
skiasharp.nativeassets.macos.4.151.1.nupkg	7402832 bytes
skiasharp.nativeassets.win32.4.151.1.nupkg	79659872 bytes
swashbuckle.aspnetcore.6.6.2.nupkg	15407 bytes
swashbuckle.aspnetcore.swagger.6.6.2.nupkg	145037 bytes
swashbuckle.aspnetcore.swaggergen.6.6.2.nupkg	490029 bytes
swashbuckle.aspnetcore.swaggerui.6.6.2.nupkg	3912968 bytes
system.codedom.4.4.0.nupkg	213263 bytes
system.collections.immutable.6.0.0.nupkg	393026 bytes
system.collections.immutable.8.0.0.nupkg	787241 bytes
system.composition.6.0.0.nupkg	36690 bytes
system.composition.attributedmodel.6.0.0.nupkg	74280 bytes
system.composition.convention.6.0.0.nupkg	118447 bytes
system.composition.hosting.6.0.0.nupkg	131638 bytes
system.composition.runtime.6.0.0.nupkg	84119 bytes
system.composition.typedparts.6.0.0.nupkg	131026 bytes
system.identitymodel.tokens.jwt.7.1.2.nupkg	307924 bytes
system.io.pipelines.6.0.3.nupkg	226212 bytes
system.reflection.metadata.6.0.1.nupkg	767969 bytes
system.reflection.metadata.8.0.0.nupkg	1307788 bytes
system.runtime.compilerservices.unsafe.6.0.0.nupkg	84343 bytes
system.text.encoding.codepages.6.0.0.nupkg	4242377 bytes
system.threading.channels.6.0.0.nupkg	181030 bytes
xunit.2.9.3.nupkg	31659 bytes
xunit.abstractions.2.0.3.nupkg	75155 bytes
xunit.analyzers.1.18.0.nupkg	269902 bytes
xunit.assert.2.9.3.nupkg	246078 bytes
xunit.core.2.9.3.nupkg	33553 bytes
xunit.extensibility.core.2.9.3.nupkg	298787 bytes
xunit.extensibility.execution.2.9.3.nupkg	379849 bytes
xunit.runner.visualstudio.3.0.2.nupkg	1277824 bytes
